epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1713.23,3.09499,3.79843,3.721,0.32851,0.29911,0.22456,0.08411,2.03214,5.65174,2.39165,0.00299937,0.000999789,0.00299937,0.000999789,0.0696731,0.0676735,0.00299937,0.000999789
2,3158.86,1.86703,2.23937,2.32161,0.60399,0.4952,0.5336,0.29405,1.37506,2.7008,1.69474,0.0059979,0.0019993,0.0059979,0.0019993,0.0393383,0.0353397,0.0059979,0.0019993
3,4493.57,1.54965,1.76885,1.96126,0.66665,0.58243,0.63433,0.37603,1.22515,2.13398,1.51747,0.00899058,0.00299686,0.00899058,0.00299686,0.00899762,0.0030039,0.00899058,0.00299686
4,5822.21,1.43371,1.53035,1.82438,0.72697,0.63487,0.70772,0.43768,1.15106,1.64104,1.421,0.00898023,0.00299341,0.00898023,0.00299341,0.00898023,0.00299341,0.00898023,0.00299341
5,7151.15,1.34481,1.35138,1.72886,0.74595,0.66634,0.73878,0.46914,1.10494,1.44961,1.37718,0.00896487,0.00298829,0.00896487,0.00298829,0.00896487,0.00298829,0.00896487,0.00298829
6,8475.76,1.28992,1.23957,1.67296,0.76092,0.68574,0.75766,0.48853,1.08086,1.37266,1.35257,0.00894515,0.00298172,0.00894515,0.00298172,0.00894515,0.00298172,0.00894515,0.00298172
7,9809.46,1.24471,1.16115,1.63294,0.7675,0.69989,0.77078,0.50135,1.05712,1.28227,1.32959,0.00892109,0.0029737,0.00892109,0.0029737,0.00892109,0.0029737,0.00892109,0.0029737
8,11134.6,1.21813,1.11035,1.60868,0.78156,0.70983,0.78503,0.51584,1.04158,1.23526,1.31666,0.00889271,0.00296424,0.00889271,0.00296424,0.00889271,0.00296424,0.00889271,0.00296424
9,12461.2,1.19152,1.06689,1.57863,0.78973,0.72228,0.79602,0.52614,1.03102,1.19678,1.30426,0.00886004,0.00295335,0.00886004,0.00295335,0.00886004,0.00295335,0.00886004,0.00295335
10,13789.7,1.16857,1.02697,1.56597,0.79472,0.73015,0.80161,0.53254,1.02317,1.14821,1.29673,0.00882311,0.00294104,0.00882311,0.00294104,0.00882311,0.00294104,0.00882311,0.00294104
11,15122.1,1.15386,0.99047,1.54654,0.79661,0.73392,0.80608,0.53741,1.01688,1.13265,1.28954,0.00878196,0.00292732,0.00878196,0.00292732,0.00878196,0.00292732,0.00878196,0.00292732
12,16444.3,1.13425,0.96793,1.5254,0.80158,0.73416,0.80908,0.54111,1.01267,1.10832,1.28478,0.00873662,0.00291221,0.00873662,0.00291221,0.00873662,0.00291221,0.00873662,0.00291221
13,17762.2,1.12117,0.93218,1.50996,0.8045,0.73695,0.8115,0.54366,1.00911,1.09347,1.28103,0.00868715,0.00289572,0.00868715,0.00289572,0.00868715,0.00289572,0.00868715,0.00289572
14,19070.7,1.10546,0.91341,1.50045,0.80796,0.73811,0.81382,0.54589,1.00648,1.08556,1.27826,0.0086336,0.00287787,0.0086336,0.00287787,0.0086336,0.00287787,0.0086336,0.00287787
