model,class,size_bin,gt_instances,AP50,AP50-95,Recall50
V4_P2,fire,tiny(<0.1%),434,0.20133682296108293,0.0790373260466347,0.9101382488479263
V4_P2,fire,small(0.1-1%),543,0.39358814479056375,0.22312560683729693,0.9723756906077348
V4_P2,fire,medium(1-5%),171,0.32095345686060583,0.25078077532305765,0.9883040935672515
V4_P2,fire,large(>=5%),130,0.7357151482805935,0.6667107188306357,0.9923076923076923
V4_P2,smoke,tiny(<0.1%),12,0.01248741055755736,0.004168631763845078,0.8333333333333334
V4_P2,smoke,small(0.1-1%),114,0.190687475303513,0.0975913292239266,0.9912280701754386
V4_P2,smoke,medium(1-5%),44,0.05495150424902231,0.03562065542598262,0.9318181818181818
V4_P2,smoke,large(>=5%),365,0.9781569456003681,0.9142561687706495,1.0
S5_FT,fire,tiny(<0.1%),434,0.20416896604397244,0.0806274437085309,0.9032258064516129
S5_FT,fire,small(0.1-1%),543,0.39255818852893726,0.2223555549340956,0.9686924493554327
S5_FT,fire,medium(1-5%),171,0.30995009288305597,0.24033893923935726,0.9941520467836257
S5_FT,fire,large(>=5%),130,0.744391733669796,0.6743809582257225,0.9923076923076923
S5_FT,smoke,tiny(<0.1%),12,0.01306346767856651,0.00444694982250518,0.8333333333333334
S5_FT,smoke,small(0.1-1%),114,0.1843764769834044,0.09552421489020972,0.9912280701754386
S5_FT,smoke,medium(1-5%),44,0.05729183371882669,0.036605072998480724,0.9545454545454546
S5_FT,smoke,large(>=5%),365,0.9721572444406945,0.9163905228996677,1.0
NoP2_Abl,fire,tiny(<0.1%),434,0.1936678138542373,0.07276326246305995,0.836405529953917
NoP2_Abl,fire,small(0.1-1%),543,0.3943584089489476,0.22328117818050308,0.9686924493554327
NoP2_Abl,fire,medium(1-5%),171,0.3231090536109765,0.25086511863880073,0.9883040935672515
NoP2_Abl,fire,large(>=5%),130,0.8294034384772789,0.7478049127773049,1.0
NoP2_Abl,smoke,tiny(<0.1%),12,0.011137659207764588,0.0030804549149985525,0.75
NoP2_Abl,smoke,small(0.1-1%),114,0.18223130815369493,0.0961634611446833,0.9912280701754386
NoP2_Abl,smoke,medium(1-5%),44,0.05875073136942516,0.0393522603840165,0.9318181818181818
NoP2_Abl,smoke,large(>=5%),365,0.9829028708048386,0.91902448990665,1.0
