epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2097.94,0.90072,0.62935,1.373,0.80713,0.76019,0.82263,0.55313,1.03199,0.97357,1.37135,0.00299937,0.000999789,0.00299937,0.000999789,0.0696731,0.0676735,0.00299937,0.000999789
2,3868.68,0.94953,0.67694,1.40785,0.80886,0.76521,0.8281,0.55864,1.01969,0.92358,1.35386,0.0059953,0.00199843,0.0059953,0.00199843,0.0393357,0.0353388,0.0059953,0.00199843
3,5493.04,0.93825,0.65547,1.40311,0.81618,0.76503,0.83316,0.56281,1.02052,0.89529,1.35055,0.00897496,0.00299165,0.00897496,0.00299165,0.008982,0.0029987,0.00897496,0.00299165
4,7083.22,0.92826,0.63925,1.38996,0.82149,0.7624,0.83474,0.56514,1.01733,0.88848,1.3511,0.00894515,0.00298172,0.00894515,0.00298172,0.00894515,0.00298172,0.00894515,0.00298172
5,8680.32,0.90843,0.61588,1.36877,0.81835,0.7754,0.83837,0.57017,1.01562,0.85675,1.35357,0.00890265,0.00296755,0.00890265,0.00296755,0.00890265,0.00296755,0.00890265,0.00296755
6,10274.4,0.93113,0.64218,1.39003,0.82274,0.77105,0.83978,0.57311,1.00703,0.84969,1.34211,0.0088482,0.0029494,0.0088482,0.0029494,0.0088482,0.0029494,0.0088482,0.0029494
7,11878.2,0.91686,0.62555,1.37285,0.82243,0.77441,0.83862,0.57578,0.99838,0.83071,1.33263,0.00878196,0.00292732,0.00878196,0.00292732,0.00878196,0.00292732,0.00878196,0.00292732
8,13476.1,0.91099,0.61887,1.36787,0.82179,0.77767,0.83947,0.57704,0.99779,0.83563,1.33771,0.0087041,0.00290137,0.0087041,0.00290137,0.0087041,0.00290137,0.0087041,0.00290137
9,15047.1,0.90359,0.60884,1.35884,0.82183,0.78095,0.84155,0.57901,0.99597,0.80795,1.33866,0.00861485,0.00287162,0.00861485,0.00287162,0.00861485,0.00287162,0.00861485,0.00287162
10,16615.3,0.89163,0.60002,1.35452,0.82446,0.7799,0.84223,0.58001,0.99488,0.79728,1.33806,0.00851443,0.00283814,0.00851443,0.00283814,0.00851443,0.00283814,0.00851443,0.00283814
11,18176,0.88748,0.59355,1.34903,0.82037,0.78699,0.84284,0.58144,0.99313,0.79238,1.33943,0.00840314,0.00280105,0.00840314,0.00280105,0.00840314,0.00280105,0.00840314,0.00280105
12,19736.9,0.8797,0.58656,1.3357,0.81864,0.7901,0.84329,0.58223,0.99169,0.78313,1.3385,0.00828128,0.00276043,0.00828128,0.00276043,0.00828128,0.00276043,0.00828128,0.00276043
13,21321.9,0.87714,0.57806,1.33347,0.82011,0.79021,0.84337,0.58259,0.99101,0.77721,1.3394,0.00814917,0.00271639,0.00814917,0.00271639,0.00814917,0.00271639,0.00814917,0.00271639
14,22904.3,0.86621,0.57089,1.32822,0.82691,0.78541,0.84382,0.58327,0.99057,0.77199,1.34081,0.00800719,0.00266906,0.00800719,0.00266906,0.00800719,0.00266906,0.00800719,0.00266906
15,24488.8,0.85824,0.56404,1.3193,0.82532,0.78627,0.84364,0.58336,0.99005,0.76863,1.34169,0.00785571,0.00261857,0.00785571,0.00261857,0.00785571,0.00261857,0.00785571,0.00261857
16,26037.8,0.85182,0.55471,1.31073,0.82832,0.78521,0.84371,0.58371,0.98998,0.76598,1.34235,0.00769516,0.00256505,0.00769516,0.00256505,0.00769516,0.00256505,0.00769516,0.00256505
17,27610.3,0.85135,0.55082,1.30982,0.82907,0.78509,0.84364,0.58353,0.98979,0.76324,1.34298,0.00752598,0.00250866,0.00752598,0.00250866,0.00752598,0.00250866,0.00752598,0.00250866
18,29161.7,0.8436,0.54463,1.30193,0.82531,0.78921,0.84381,0.58334,0.98977,0.75971,1.34331,0.00734862,0.00244954,0.00734862,0.00244954,0.00734862,0.00244954,0.00734862,0.00244954
19,30733.1,0.83784,0.54076,1.29571,0.82561,0.78994,0.84381,0.5833,0.98981,0.75545,1.34357,0.00716358,0.00238786,0.00716358,0.00238786,0.00716358,0.00238786,0.00716358,0.00238786
20,32296.4,0.83357,0.53167,1.29174,0.82648,0.78989,0.84339,0.5832,0.99034,0.75087,1.34445,0.00697137,0.00232379,0.00697137,0.00232379,0.00697137,0.00232379,0.00697137,0.00232379
21,33851.3,0.82688,0.5274,1.28544,0.82885,0.78879,0.84245,0.5835,0.99065,0.74627,1.34576,0.0067725,0.0022575,0.0067725,0.0022575,0.0067725,0.0022575,0.0067725,0.0022575
22,35406.8,0.81966,0.52216,1.27869,0.83094,0.78691,0.84255,0.58347,0.9907,0.7432,1.34603,0.00656753,0.00218918,0.00656753,0.00218918,0.00656753,0.00218918,0.00656753,0.00218918
23,36979.6,0.81329,0.5148,1.27217,0.83369,0.78541,0.84242,0.5831,0.99083,0.73903,1.34666,0.00635701,0.002119,0.00635701,0.002119,0.00635701,0.002119,0.00635701,0.002119
24,38548.8,0.80937,0.50945,1.27016,0.82977,0.78933,0.84158,0.58306,0.99105,0.7358,1.34768,0.00614153,0.00204718,0.00614153,0.00204718,0.00614153,0.00204718,0.00614153,0.00204718
25,40119.3,0.80298,0.50196,1.26089,0.82745,0.79171,0.84127,0.5828,0.99154,0.73265,1.34887,0.00592167,0.00197389,0.00592167,0.00197389,0.00592167,0.00197389,0.00592167,0.00197389
26,41690.7,0.79178,0.49355,1.25134,0.82628,0.79295,0.84124,0.5827,0.9923,0.73101,1.35028,0.00569804,0.00189935,0.00569804,0.00189935,0.00569804,0.00189935,0.00569804,0.00189935
27,43256.6,0.78786,0.49195,1.24655,0.82635,0.79398,0.84123,0.58269,0.99292,0.72782,1.3518,0.00547125,0.00182375,0.00547125,0.00182375,0.00547125,0.00182375,0.00547125,0.00182375
28,44819.7,0.78188,0.48108,1.24098,0.8314,0.79009,0.84128,0.58238,0.9938,0.7252,1.35287,0.00524192,0.00174731,0.00524192,0.00174731,0.00524192,0.00174731,0.00524192,0.00174731
29,46381.3,0.77399,0.47571,1.23502,0.83426,0.78807,0.84112,0.58249,0.99467,0.72397,1.35467,0.00501067,0.00167022,0.00501067,0.00167022,0.00501067,0.00167022,0.00501067,0.00167022
30,47954.1,0.76579,0.4691,1.22739,0.83552,0.78777,0.84021,0.58244,0.99566,0.72292,1.3564,0.00477816,0.00159272,0.00477816,0.00159272,0.00477816,0.00159272,0.00477816,0.00159272
31,49506.5,0.7594,0.46458,1.22066,0.83746,0.78521,0.83876,0.58206,0.99619,0.72242,1.35773,0.004545,0.001515,0.004545,0.001515,0.004545,0.001515,0.004545,0.001515
32,51076.8,0.7516,0.45763,1.21589,0.83614,0.78723,0.83727,0.5812,0.99701,0.72182,1.35958,0.00431184,0.00143728,0.00431184,0.00143728,0.00431184,0.00143728,0.00431184,0.00143728
33,52630.8,0.74263,0.45168,1.2086,0.83376,0.78842,0.83684,0.58082,0.99765,0.72251,1.36156,0.00407933,0.00135978,0.00407933,0.00135978,0.00407933,0.00135978,0.00407933,0.00135978
34,54183.2,0.73542,0.44156,1.20174,0.8321,0.79037,0.83609,0.5805,0.99814,0.7227,1.36363,0.00384808,0.00128269,0.00384808,0.00128269,0.00384808,0.00128269,0.00384808,0.00128269
35,55734.8,0.72795,0.43523,1.19304,0.83104,0.79081,0.83597,0.58014,0.99822,0.72255,1.3655,0.00361875,0.00120625,0.00361875,0.00120625,0.00361875,0.00120625,0.00361875,0.00120625
36,57304.3,0.71692,0.42906,1.18484,0.83216,0.78949,0.83567,0.57992,0.9983,0.72294,1.36771,0.00339196,0.00113065,0.00339196,0.00113065,0.00339196,0.00113065,0.00339196,0.00113065
