epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2100.23,0.82296,0.5606,1.30571,0.82875,0.78209,0.84162,0.57876,0.99466,0.89474,1.35983,0.000999789,0.000333263,0.000999789,0.000333263,0.0676735,0.067007,0.000999789,0.000333263
2,3899.23,0.82089,0.55535,1.29908,0.82702,0.78141,0.83955,0.57603,0.99811,0.86133,1.36671,0.00199945,0.000666483,0.00199945,0.000666483,0.0353398,0.0340069,0.00199945,0.000666483
3,5589.85,0.82477,0.55601,1.30256,0.82394,0.78506,0.84028,0.57518,1.00049,0.82524,1.37185,0.00299775,0.000999251,0.00299775,0.000999251,0.0030048,0.00100629,0.00299775,0.000999251
4,7262.56,0.82495,0.55318,1.29767,0.82777,0.78221,0.83943,0.57625,0.99994,0.84439,1.36692,0.00299542,0.000998474,0.00299542,0.000998474,0.00299542,0.000998474,0.00299542,0.000998474
5,8938.86,0.82821,0.55317,1.29619,0.82866,0.78393,0.83864,0.57553,1.0023,0.83055,1.37367,0.00299187,0.000997288,0.00299187,0.000997288,0.00299187,0.000997288,0.00299187,0.000997288
6,10618.1,0.82088,0.54895,1.28874,0.82457,0.78688,0.83916,0.57681,1.00396,0.81643,1.37014,0.0029873,0.000995765,0.0029873,0.000995765,0.0029873,0.000995765,0.0029873,0.000995765
7,12294.5,0.81009,0.53871,1.28126,0.8311,0.78421,0.83848,0.57621,1.00258,0.81519,1.37984,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906,0.00298172,0.000993906
8,13972.2,0.81023,0.53926,1.2803,0.82947,0.78696,0.83931,0.57836,1.00205,0.80374,1.37993,0.00297513,0.000991711,0.00297513,0.000991711,0.00297513,0.000991711,0.00297513,0.000991711
9,15642,0.80324,0.52883,1.27405,0.83011,0.78765,0.83887,0.57854,1.00293,0.7968,1.38416,0.00296755,0.000989183,0.00296755,0.000989183,0.00296755,0.000989183,0.00296755,0.000989183
10,17314.6,0.79934,0.52852,1.271,0.82945,0.78859,0.83855,0.57831,1.00128,0.79391,1.38352,0.00295897,0.000986323,0.00295897,0.000986323,0.00295897,0.000986323,0.00295897,0.000986323
11,18998.8,0.79845,0.52759,1.26788,0.82896,0.78921,0.83883,0.57899,1.00045,0.78585,1.38374,0.0029494,0.000983133,0.0029494,0.000983133,0.0029494,0.000983133,0.0029494,0.000983133
12,20676.6,0.78804,0.51668,1.2594,0.83157,0.78653,0.83829,0.57902,0.99962,0.78198,1.38467,0.00293885,0.000979616,0.00293885,0.000979616,0.00293885,0.000979616,0.00293885,0.000979616
13,22358.7,0.78883,0.51442,1.25844,0.83429,0.78439,0.83839,0.57899,0.99891,0.77796,1.38511,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773,0.00292732,0.000975773
14,24038.5,0.7842,0.51364,1.25556,0.83236,0.78629,0.83823,0.57869,0.99857,0.77435,1.38545,0.00291482,0.000971608,0.00291482,0.000971608,0.00291482,0.000971608,0.00291482,0.000971608
15,25698.6,0.78126,0.5103,1.25185,0.8328,0.78655,0.83826,0.57887,0.99842,0.77142,1.38636,0.00290137,0.000967122,0.00290137,0.000967122,0.00290137,0.000967122,0.00290137,0.000967122
16,27346.3,0.77792,0.50796,1.24786,0.83249,0.78792,0.83845,0.57884,0.99774,0.76918,1.3863,0.00288696,0.00096232,0.00288696,0.00096232,0.00288696,0.00096232,0.00288696,0.00096232
17,29027.2,0.7766,0.50433,1.24624,0.83378,0.78691,0.83845,0.57898,0.99776,0.76722,1.38701,0.00287162,0.000957205,0.00287162,0.000957205,0.00287162,0.000957205,0.00287162,0.000957205
18,30705.9,0.76689,0.50149,1.24191,0.83583,0.78478,0.83827,0.57865,0.99797,0.7658,1.38843,0.00285534,0.00095178,0.00285534,0.00095178,0.00285534,0.00095178,0.00285534,0.00095178
19,32377.8,0.76649,0.49621,1.24164,0.83869,0.78387,0.8382,0.57871,0.99811,0.76302,1.38924,0.00283814,0.000946048,0.00283814,0.000946048,0.00283814,0.000946048,0.00283814,0.000946048
20,34057.3,0.76527,0.4967,1.23767,0.83676,0.7862,0.83817,0.57881,0.99829,0.76066,1.39024,0.00282004,0.000940014,0.00282004,0.000940014,0.00282004,0.000940014,0.00282004,0.000940014
